Iteration;Investment;TP;LeanBuffer;B1;B2;S1;A1;A2;A3;A4;A5;S2;PartsProduced;Throughput;LeadTime;WIP;InvB1;InvB2;InvFastMachine;InvA1;InvA2;InvA3;InvA4;InvA5;InvMultiPurpose;Rank;
1;210000;0,835277777777778;18;10;8;1;93;92;95;93;90;1;601,4;0,835277777777778;94993,5042077062;22,2196991893923;50000;30000;0;30000;20000;50000;30000;0;0;109;
2;280000;0,904722222222222;14;9;5;1;94;95;90;95;91;2;651,4;0,904722222222222;73477,7603332234;18,5306556444811;40000;0;0;40000;50000;0;50000;10000;90000;64;
3;330000;0,897222222222222;20;10;10;1;94;95;95;90;90;2;646;0,897222222222222;95702,3860038337;24,1440464041187;50000;50000;0;40000;50000;50000;0;0;90000;75;
4;280000;0,900277777777778;20;10;10;1;93;90;91;91;94;2;648,2;0,900277777777778;91512,9184114631;23,1720827651099;50000;50000;0;30000;0;10000;10000;40000;90000;73;
5;170000;0,827222222222222;14;7;7;1;92;91;95;95;90;1;595,6;0,827222222222222;78405,4280674868;18,11997528442;20000;20000;0;20000;10000;50000;50000;0;0;106;
6;200000;0,831944444444444;15;8;7;1;92;94;94;93;92;1;599;0,831944444444444;82572,7152979656;19,2002688804489;30000;20000;0;20000;40000;40000;30000;20000;0;109;
7;210000;0,891666666666667;11;5;6;1;94;93;91;92;91;2;642;0,891666666666667;61873,8949878841;15,4090005690853;0;10000;0;40000;30000;10000;20000;10000;90000;66;
8;420000;0,925555555555556;19;10;9;2;90;90;94;95;95;2;666,4;0,925555555555556;79455,0725653243;20,6051091868245;50000;40000;100000;0;0;40000;50000;50000;90000;26;
9;250000;0,897222222222222;15;10;5;1;95;91;90;94;91;2;646;0,897222222222222;77431,0892067302;19,3917194233493;50000;0;0;50000;10000;0;40000;10000;90000;69;
10;190000;0,824722222222222;12;5;7;1;94;95;93;95;90;1;593,8;0,824722222222222;70663,6704795149;16,3209601087501;0;20000;0;40000;50000;30000;50000;0;0;95;
11;270000;0,914444444444444;14;9;5;1;93;91;94;94;92;2;658,4;0,914444444444444;70973,6465361602;18,1093485673843;40000;0;0;30000;10000;40000;40000;20000;90000;48;
12;300000;0,92;14;5;9;1;92;93;93;95;94;2;662,4;0,92;67361,6096060228;17,3736909537583;0;40000;0;20000;30000;30000;50000;40000;90000;38;
13;380000;0,920277777777778;16;10;6;1;95;95;95;93;95;2;662,6;0,920277777777778;79072,2664739988;20,3352844898006;50000;10000;0;50000;50000;50000;30000;50000;90000;42;
14;170000;0,844166666666667;16;7;9;1;91;95;93;90;92;1;607,8;0,844166666666667;85643,0820895786;20,2429027653676;20000;40000;0;10000;50000;30000;0;20000;0;102;
15;110000;0,835555555555555;15;5;10;1;90;91;90;90;95;1;601,6;0,835555555555555;80780,7459045377;18,9776395629754;0;50000;0;0;10000;0;0;50000;0;43;
16;280000;0,893888888888889;19;9;10;1;95;91;92;90;92;2;643,6;0,893888888888889;91565,3308841884;22,9765075868999;40000;50000;0;50000;10000;20000;0;20000;90000;77;
17;240000;0,8525;20;10;10;1;90;95;93;94;92;1;613,8;0,8525;100943,263745148;24,0899881735547;50000;50000;0;0;50000;30000;40000;20000;0;108;
18;240000;0,8125;16;9;7;1;95;95;93;95;90;1;585;0,8125;89382,432633381;20,3127569093834;40000;20000;0;50000;50000;30000;50000;0;0;116;
19;170000;0,820555555555556;17;9;8;1;92;91;94;91;92;1;590,8;0,820555555555556;92007,7812069551;21,1560217852172;40000;30000;0;20000;10000;40000;10000;20000;0;113;
20;270000;0,8975;19;9;10;1;91;93;91;92;92;2;646,2;0,8975;87975,2289162333;22,2055241691519;40000;50000;0;10000;30000;10000;20000;20000;90000;74;
21;140000;0,804166666666667;10;5;5;1;92;91;93;94;94;1;579;0,804166666666667;63194,7492461995;14,157987079397;0;0;0;20000;10000;30000;40000;40000;0;83;
22;270000;0,908333333333333;13;5;8;1;95;93;93;92;92;2;654;0,908333333333333;67642,2826975289;17,1874725215561;0;30000;0;50000;30000;30000;20000;20000;90000;55;
23;180000;0,826111111111111;15;8;7;1;95;90;94;92;92;1;594,8;0,826111111111111;83472,401001748;19,2561015668854;30000;20000;0;50000;0;40000;20000;20000;0;110;
24;130000;0,789444444444445;12;6;6;1;94;95;90;91;91;1;568,4;0,789444444444445;74202,2265294736;16,3623890993023;10000;10000;0;40000;50000;0;10000;10000;0;85;
25;300000;0,917222222222222;12;7;5;1;95;93;95;91;95;2;660,4;0,917222222222222;63957,0952309978;16,3634564732765;20000;0;0;50000;30000;50000;10000;50000;90000;41;
26;310000;0,916388888888889;19;10;9;1;91;92;95;95;90;2;659,8;0,916388888888889;85128,6530109388;21,8915487307991;50000;40000;0;10000;20000;50000;50000;0;90000;47;
27;120000;0,801666666666667;11;5;6;1;94;93;90;92;92;1;577,2;0,801666666666667;68495,3772777564;15,3261744112742;0;10000;0;40000;30000;0;20000;20000;0;55;
28;190000;0,799166666666667;14;9;5;1;91;93;95;93;93;1;575,4;0,799166666666667;81752,0887203798;18,1911283256846;40000;0;0;10000;30000;50000;30000;30000;0;118;
29;320000;0,9275;11;5;6;1;95;93;94;95;95;2;667,8;0,9275;58638,094617604;15,1942624917821;0;10000;0;50000;30000;40000;50000;50000;90000;15;
30;260000;0,904166666666666;16;8;8;1;90;94;95;90;92;2;651;0,904166666666666;77840,6176059263;19,7267561094804;30000;30000;0;0;40000;50000;0;20000;90000;65;
31;160000;0,784166666666667;13;7;6;1;94;94;90;91;94;1;564,6;0,784166666666667;78768,3171286859;17,2812467599144;20000;10000;0;40000;40000;0;10000;40000;0;116;
32;210000;0,8275;13;6;7;1;94;93;93;94;94;1;595,8;0,8275;74645,7652218272;17,2775970722232;10000;20000;0;40000;30000;30000;40000;40000;0;101;
33;180000;0,78;15;10;5;1;94;95;91;91;92;1;561,6;0,78;88701,3399156895;19,2939252228247;50000;0;0;40000;50000;10000;10000;20000;0;121;
34;110000;0,806944444444444;13;7;6;1;91;92;92;93;90;1;581;0,806944444444444;76414,7047486705;17,2445326375752;20000;10000;0;10000;20000;20000;30000;0;0;63;
35;200000;0,893333333333333;15;5;10;1;90;92;92;91;91;2;643,2;0,893333333333333;73745,501987954;18,4937578989558;0;50000;0;0;20000;20000;10000;10000;90000;77;
36;190000;0,822222222222222;17;10;7;1;91;93;90;94;94;1;592;0,822222222222222;92634,2332205601;21,2495044021423;50000;20000;0;10000;30000;0;40000;40000;0;113;
37;120000;0,784444444444445;14;9;5;1;92;92;91;93;90;1;564,8;0,784444444444445;83689,882273689;18,2592911583938;40000;0;0;20000;20000;10000;30000;0;0;89;
