Id,M,Category,Shift,a_A1,a_A2,a_A3,a_A4,a_B1,a_B2,a_B3,a_B4,a_B5,a_B6,a_B7,a_C1,a_C2,a_C3,a_C4,a_D1,a_D2,a_D3,a_D4,b_C1,b_C2,b_C3,b_C4,LT_A,LT_AA,LT_B,LT_C,LT_D,LT_FA,LT_Plant,LeanBuffer,Out,WIP_A,WIP_AA,WIP_B,WIP_C,WIP_D,WIP_FA,WaitingParts,maxOut,minLT_Plant,minLeanBuffer,minWaitingParts,max_Out,min_LB,min_LTPlant,min_WaitingParts
575,false,Cluster_1,4.0,16.0,2.0,4.0,19.0,5.0,8.0,5.0,12.0,5.0,2.0,10.0,8.0,15.0,8.0,2.0,9.0,20.0,2.0,7.0,128.0,992.0,1024.0,416.0,18.40503551,2.589114214,16.1310912,17.9791949,18.76126285,17.95981079,39.31748915,15355.75,39600.0,2216.25,53.25,2780.5,3374.25,3650.5,3281.0,0.0,39600.0,39.3,15355.75,0.0,39600.0,15355.75,39.3,0.0
691,false,Cluster_1,4.0,16.0,1.0,7.0,2.0,2.0,20.0,5.0,12.0,5.0,9.0,10.0,8.0,19.0,6.0,5.0,13.0,20.0,7.0,7.0,1600.0,992.0,864.0,416.0,14.59669911,2.589114214,15.47729739,17.2868637,18.39640674,17.95801802,38.94353898,16008.25,39600.0,1943.0,53.25,2924.75,3624.75,4181.5,3281.0,0.0,39600.0,38.9,16008.25,0.0,39600.0,16008.25,38.9,0.0
2968,false,Cluster_1,4.0,4.0,4.0,3.0,3.0,9.0,14.0,2.0,4.0,14.0,7.0,8.0,7.0,7.0,10.0,5.0,18.0,16.0,2.0,3.0,1120.0,640.0,160.0,480.0,8.907638646,2.587169769,14.30924625,18.72337715,19.1689126,17.9495887,39.70567107,13214.75,39600.0,1811.5,61.0,2555.25,2713.75,2841.5,3231.75,0.0,39600.0,39.7,13214.75,0.0,39600.0,13214.75,39.7,0.0
3118,false,Cluster_1,4.0,3.0,6.0,1.0,1.0,18.0,11.0,2.0,1.0,13.0,4.0,3.0,7.0,7.0,16.0,14.0,18.0,14.0,3.0,1.0,1120.0,832.0,160.0,480.0,8.086221459,2.587169769,14.92746758,20.44867658,20.48803931,17.9495887,41.08556466,12781.5,39600.0,1787.25,61.0,2220.5,2639.75,2841.25,3231.75,0.0,39600.0,41.1,12781.5,0.0,39600.0,12781.5,41.1,0.0
3131,false,Cluster_1,3.0,5.0,6.0,2.0,8.0,3.0,2.0,3.0,5.0,19.0,1.0,3.0,6.0,6.0,17.0,6.0,18.0,8.0,9.0,3.0,2048.0,928.0,160.0,96.0,16.24474302,4.852772743,17.9973604,24.0850128,23.71348989,21.13413528,50.20542913,12488.75,39600.0,2002.25,54.5,2277.0,2650.75,2786.5,2717.75,0.0,39600.0,50.2,12488.75,0.0,39600.0,12488.75,50.2,0.0
3297,false,Cluster_1,3.0,11.0,1.0,2.0,2.0,3.0,3.0,1.0,3.0,10.0,1.0,2.0,6.0,1.0,18.0,1.0,7.0,1.0,1.0,1.0,1120.0,1056.0,128.0,32.0,16.16798607,5.415608205,17.24826229,23.6100044,20.59063739,18.02877802,47.05439063,9928.75,39395.0,1481.5,203.5,2016.25,1879.0,2633.75,1714.75,15998.25,39395.0,47.1,9928.75,4.4,39395.0,9928.75,47.1,4.4
3346,false,Cluster_1,4.0,2.0,1.0,2.0,1.0,4.0,5.0,10.0,3.0,15.0,3.0,2.0,2.0,2.0,16.0,1.0,17.0,1.0,10.0,5.0,2080.0,928.0,128.0,96.0,9.04057532,3.298055173,12.89507127,17.70950215,17.67610764,16.95890396,38.04656388,10527.25,39561.75,1379.5,149.75,2281.25,1981.75,2430.25,2304.75,43523.0,39561.75,38.0,10527.25,12.1,39561.75,10527.25,38.0,12.1
3677,false,Cluster_1,3.0,3.0,1.0,1.0,13.0,3.0,7.0,3.0,1.0,2.0,7.0,7.0,7.0,5.0,17.0,6.0,18.0,7.0,9.0,2.0,1120.0,928.0,160.0,96.0,20.79239268,5.065697487,17.80772388,27.91924635,23.98465633,21.60659828,54.59154212,12062.75,39600.0,1673.5,81.5,2354.75,2671.75,2894.5,2386.75,0.0,39600.0,54.6,12062.75,0.0,39600.0,12062.75,54.6,0.0
3942,false,Cluster_1,4.0,15.0,1.0,4.0,12.0,9.0,7.0,1.0,1.0,10.0,3.0,5.0,6.0,5.0,13.0,9.0,17.0,8.0,10.0,1.0,2048.0,928.0,160.0,128.0,16.01908784,2.708690375,13.59210224,16.58316281,20.78890003,18.39843404,41.89602445,11953.75,39600.0,1956.75,78.25,2082.0,2112.0,2765.5,2959.25,1494.75,39600.0,41.9,11953.75,0.4,39600.0,11953.75,41.9,0.4
4036,false,Cluster_1,3.0,2.0,1.0,1.0,2.0,4.0,4.0,3.0,3.0,7.0,2.0,2.0,2.0,2.0,10.0,1.0,3.0,1.0,2.0,2.0,1120.0,1056.0,128.0,96.0,15.25359835,5.812133602,17.41149818,21.06318598,21.04166339,16.23375651,43.37927326,9617.0,39198.25,1232.5,232.0,2155.25,1840.0,2662.25,1495.0,38013.0,39198.25,43.4,9617.0,10.6,39198.25,9617.0,43.4,10.6
