Iteration;minWIP;minPayOff;maxTP;S1_ActiveNum;S3_ActiveNum;B1_Capacity;B3_Capacity;B4_Capacity;B5_Capacity;B2_Capacity;N2;M3;M6;PartsProduced;Throughput;LeadTime;WIP;TwoOld;OneNew;ParallelMCost;TwoSlow;ThreeSlow;TwoFast;NumBuffers;Replications;ConstraintViolation;Iteration;Rank;
0;207,252717567895;6,9064542394013;5,07678571428571;2;3;50;50;50;50;50;6;2;2;852,9;5,07678571428571;135286,260192718;207,252717567895;0;1;250000;0;0;1;250;10;0;0;28;
1;50,1599201172764;16,3345239450023;1,24642857142857;1;1;43;47;16;44;3;1;1;2;209,4;1,24642857142857;142555,874789901;50,1599201172764;1;0;500000;1;0;0;153;10;0;1;62;
2;65,8118923908331;6,31327053733216;5,09166666666667;2;3;32;40;47;9;21;4;1;2;855,4;5,09166666666667;46473,8080820082;65,8118923908331;0;1;500000;0;0;1;149;10;0;2;24;
3;46,9375249713163;5,50157511165213;5,0625;2;3;5;25;13;2;29;4;2;2;850,5;5,0625;33301,6266175285;46,9375249713163;0;1;500000;0;0;1;74;10;0;3;21;
4;35,5104488723583;9,58204991937388;2,56785714285714;1;2;15;22;44;32;14;2;2;1;431,4;2,56785714285714;49986,2011454891;35,5104488723583;1;0;500000;0;1;0;127;10;0;4;35;
5;83,4125279889793;10,5181127462839;2,55059523809524;2;2;40;15;1;32;38;2;2;1;428,5;2,55059523809524;116119,552211216;83,4125279889793;0;1;500000;0;1;0;126;10;0;5;41;
6;173,582525680739;8,89885459621317;2,91190476190476;2;1;41;42;41;11;50;3;2;1;489,2;2,91190476190476;184902,304921574;173,582525680739;0;1;250000;1;0;0;185;10;0;6;37;
7;108,500515018625;6,20367090427625;5,5047619047619;2;3;46;8;24;29;27;5;2;2;924,8;5,5047619047619;69793,1838299719;108,500515018625;0;1;500000;0;0;1;134;10;0;7;24;
8;109,726852115374;7,29441303421807;2,90833333333333;1;1;10;49;49;23;12;3;2;1;488,6;2,90833333333333;118153,732706687;109,726852115374;1;0;250000;1;0;0;143;10;0;8;34;
9;100,1263413251;7,37665934939129;4,73095238095238;2;2;26;38;46;36;21;4;2;1;794,8;4,73095238095238;71463,5223583472;100,1263413251;0;1;500000;0;1;0;167;10;0;9;32;
10;111,646124458959;8,89702239849696;3,17559523809524;1;1;2;39;37;36;27;4;2;2;533,5;3,17559523809524;117613,478533088;111,646124458959;1;0;500000;1;0;0;141;10;0;10;35;
11;60,8905998619529;5,85462274343015;4,11488095238095;2;3;14;32;34;14;39;3;2;1;691,3;4,11488095238095;52958,2060048379;60,8905998619529;0;1;250000;0;0;1;133;10;0;11;27;
12;29,7009059103371;8,98059989906766;2,58452380952381;1;2;16;41;19;20;7;2;1;1;434,2;2,58452380952381;41325,776676722;29,7009059103371;1;0;500000;0;1;0;103;10;0;12;34;
13;171,185005547127;8,87482854092565;4,7;2;2;45;34;40;24;43;6;1;1;789,6;4,7;123119,025458355;171,185005547127;0;1;500000;0;1;0;186;10;0;13;35;
14;72,6674396387161;7,73940861231946;3,15535714285714;1;1;7;18;39;9;1;4;2;2;530,1;3,15535714285714;79239,2373839743;72,6674396387161;1;0;500000;1;0;0;74;10;0;14;33;
15;111,676422047623;7,12680085972182;2,88809523809524;1;1;2;45;47;17;21;3;2;2;485,2;2,88809523809524;123093,577828185;111,676422047623;1;0;250000;1;0;0;132;10;0;15;34;
16;33,1883959056332;15,6488354960201;1,26488095238095;1;2;13;25;14;25;16;1;1;2;212,5;1,26488095238095;94251,3846356667;33,1883959056332;1;0;500000;0;1;0;93;10;0;16;57;
