Iteration;O1Time;O2Power;O3Energy;O4Area;velmax;veloverride;acclimit;ramplimit;dr;dz;InBanaWOdr;InBanaWOrz;InBanaWOdrz;UtBanaWOdr;UtBanaWOrz;UtBanaWOdrz;OP1WOdr;OP1WOrz;OP1WOdrz;OP2WOdr;OP2WOrz;OP2WOdrz;OP3WOdr;OP3WOrz;OP3WOdrz;Time;Power;Energy;Area;Error;Replications;ConstraintViolation
2;399.96;395.9243774;22641.28906;45.30828894;326;12;13;38;0.352336888;-0.279316684;-0.006887081;-0.021677218;-0.186199769;-0.372740853;0.477645566;0.264176357;-0.280503643;0.386144192;0.156949007;0.103316211;0.371301935;-0.126599874;-0.318574076;-0.400974604;-0.786322295;399.96;395.9243774;22641.28906;45.30828894;0;1;-249.96
6;123.264;719.0754395;20946.87109;31.61093148;245;100;14;99;0.337789477;-0.286358398;-0.497551715;-0.318994696;0.242099375;-0.424480019;0.370773688;0.257631342;-0.223261299;2.494819838;0.154674965;0.065911306;-1.570837749;0.015541488;-0.311610283;-2.413322036;-0.648514728;123.264;719.0754395;20946.87109;31.61093148;0;1;0
8;83.448;1417.265381;23747.55273;31.06987128;469;99;20;98;0.326917697;-0.286703262;-0.49549529;-0.29236978;0.240355995;-0.370939173;0.37082108;0.2574474;-0.223498401;2.497088987;0.155288105;0.175912625;-1.568715573;0.041286082;-0.143187138;-2.115757783;-0.451496222;83.448;1417.265381;23747.55273;31.06987128;0;1;0
12;113.76;757.5183716;21498.58008;30.85078358;275;100;16;99;0.323689071;-0.295509086;-0.495491078;-0.318994696;0.242099375;-0.424480019;0.36803971;0.257631342;-0.223298254;2.498394768;0.157175022;0.069177083;-1.56772011;0.017145307;-0.22154911;-2.176126493;-0.493869562;113.76;757.5183716;21498.58008;30.85078358;0;1;0
14;91.536;1509.09375;22552.45703;30.70471722;374;100;48;87;0.323571446;-0.285502223;-0.49790293;-0.318994696;0.247501337;-0.424480019;0.370819777;0.257443531;-0.22327152;2.498253959;0.154651034;0.183928534;-1.571478803;0.01698919;-0.311610283;-2.083246906;-0.493869562;91.536;1509.09375;22552.45703;30.70471722;0;1;0
18;60.576;4070.310791;28553.11719;31.02815214;998;100;79;91;0.230236546;-0.243251621;-0.49542445;-0.296202696;0.253884487;-0.426952797;0.37487503;0.249104375;-0.225258549;2.497276459;0.154652645;-0.097787831;-1.571134378;0.012351156;-0.161092761;-2.105872524;0.719981423;60.576;4070.310791;28553.11719;31.02815214;0;1;0
30;87.6;1193.151733;23616.4082;30.8256868;437;100;10;99;0.323571446;-0.299573135;-0.497612143;-0.274606834;0.24237065;-0.424480019;0.377661022;0.257631342;-0.22327152;2.498253959;0.154674965;0.182685982;-1.575120431;0.013531186;-0.311610283;-1.669238824;0.432339641;87.6;1193.151733;23616.4082;30.8256868;0;1;0
38;68.64;2585.467773;25651.38672;30.56802685;697;100;48;98;0.324607611;-0.285944856;-0.476707527;-0.17349751;0.231514002;-0.370197216;0.370784987;0.25581132;0.147447985;2.496995639;0.012930271;0.183772921;-1.571441988;0.01283648;-0.163719431;-1.645593621;0.673476495;68.64;2585.467773;25651.38672;30.56802685;0;1;0
42;67.248;2987.262939;25586.77734;30.84016978;670;100;75;90;0.231349174;-0.291945186;-0.496144293;-0.296996319;0.229124909;-0.370992595;0.368033178;0.249106853;-0.225255867;2.497287957;0.154710579;0.105120823;-1.578380268;0.00738215;-0.107824679;-2.105872524;-0.013635211;67.248;2987.262939;25586.77734;30.84016978;0;1;0
50;62.184;3446.314941;23628.99219;37.69862751;765;100;98;100;0.396379211;-0.289444171;0.094155229;-0.222358422;-0.192586123;0.172926222;0.497755014;0.278698421;0.157462908;1.026898774;-0.027095838;0.166561437;0.199738472;-0.124542326;0.07743906;-0.628812123;-0.639513428;62.184;3446.314941;23628.99219;37.69862751;0;1;0
