Iteration;O1Time;O2Power;O3Energy;O4Area;velmax;veloverride;acclimit;ramplimit;dr;dz;InBanaWOdr;InBanaWOrz;InBanaWOdrz;UtBanaWOdr;UtBanaWOrz;UtBanaWOdrz;OP1WOdr;OP1WOrz;OP1WOdrz;OP2WOdr;OP2WOrz;OP2WOdrz;OP3WOdr;OP3WOrz;OP3WOdrz;Time;Power;Energy;Area;Error;Replications;ConstraintViolation
50003;96.6;1034.458252;22091;54.35496288;375;100;10;98;0.331217324;-0.285152019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;96.6;1034.458252;22091;54.35496288;0;1;0
50004;118.8;764.9147949;21500.00391;54.35496288;275;100;11;98;0.361217324;-0.285152019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;118.8;764.9147949;21500.00391;54.35496288;0;1;0
50012;93.672;1123.937988;22338.24805;54.35496288;407;97;11;67;0.332757598;-0.285657534;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;93.672;1123.937988;22338.24805;54.35496288;0;1;0
50014;83.52;1390.923096;22966.93164;54.35496288;494;97;21;93;0.332757598;-0.285657534;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;83.52;1390.923096;22966.93164;54.35496288;0;1;0
50015;487.656;485.5404968;25877;54.35496288;223;10;27;38;0.386804992;0.021640632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;487.656;485.5404968;25877;54.35496288;0;1;-287.656
50018;91.176;1158.148071;22372.49219;54.35496288;417;97;19;100;0.332757598;-0.292524505;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;91.176;1158.148071;22372.49219;54.35496288;0;1;0
50021;63.192;4935.924316;27491.20508;54.35496288;1000;100;100;100;0.230113789;-0.255776762;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;63.192;4935.924316;27491.20508;54.35496288;0;1;0
50027;66.528;3513.131836;26112.05469;54.35496288;866;100;53;100;0.24049824;-0.260756381;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66.528;3513.131836;26112.05469;54.35496288;0;1;0
50029;75.048;2223.621826;23779.5293;54.35496288;563;100;50;96;0.307935377;-0.273091488;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75.048;2223.621826;23779.5293;54.35496288;0;1;0
50030;63.984;4245.139648;28818.43555;54.35496288;998;100;51;99;0.067701544;-0.044169636;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;63.984;4245.139648;28818.43555;54.35496288;0;1;0
50031;80.904;1592.571045;23106.6582;54.35496288;494;97;34;93;0.332757598;-0.285657534;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80.904;1592.571045;23106.6582;54.35496288;0;1;0
